Tanggal,PM 10,PM 2.5,O2,CO,O3,NO2
2023-01-01,22.941176470588236,42.05882352941177,3.0588235294117645,0.17647058823529413,1.0,0.5294117647058824
2023-01-02,27.42105263157895,53.10526315789474,52.63157894736842,3.0,12.631578947368421,9.578947368421053
2023-01-03,21.458333333333332,46.5,53.0,2.7916666666666665,11.625,9.333333333333334
2023-01-04,15.894736842105264,46.31578947368421,53.63157894736842,4.2105263157894735,9.263157894736842,10.157894736842104
2023-01-05,21.272727272727273,60.54545454545455,53.0,19.181818181818183,13.909090909090908,10.727272727272727
2023-01-06,32.63636363636363,67.0909090909091,53.0,16.181818181818183,13.181818181818182,10.863636363636363
2023-01-07,32.3,63.9,53.0,14.5,9.05,6.9
2023-01-08,22.708333333333332,60.625,53.0,13.5,8.0,5.416666666666667
2023-01-09,37.86363636363637,67.18181818181819,53.0,14.409090909090908,8.818181818181818,7.090909090909091
2023-01-10,35.0,62.68421052631579,53.0,13.052631578947368,10.105263157894736,8.0
2023-01-11,38.21052631578947,73.26315789473684,53.63157894736842,13.157894736842104,17.0,10.894736842105264
2023-01-12,11.05,115.3,54.1,15.0,29.25,15.6
2023-01-18,41.714285714285715,82.0,54.0,14.428571428571429,8.285714285714286,13.714285714285714
2023-01-19,40.59090909090909,83.0909090909091,54.0,15.590909090909092,8.0,10.772727272727273
2023-01-20,40.3125,64.5625,54.0,12.875,10.3125,9.4375
2023-01-21,25.8,71.45,53.65,14.1,10.0,9.55
2023-01-22,4.375,71.41666666666667,53.625,13.166666666666666,10.291666666666666,8.916666666666666
2023-01-23,34.17391304347826,51.21739130434783,53.0,11.0,10.73913043478261,4.130434782608695
2023-01-24,35.0,43.8125,53.0,10.0,10.8125,3.75
2023-01-25,48.041666666666664,49.458333333333336,53.916666666666664,10.291666666666666,10.416666666666666,4.625
2023-01-26,40.75,63.0625,54.25,12.9375,10.75,12.125
2023-01-27,47.666666666666664,66.80952380952381,54.0,13.0,12.095238095238095,14.80952380952381
2023-01-28,47.142857142857146,68.85714285714286,53.476190476190474,14.142857142857142,8.333333333333334,15.761904761904763
2023-01-29,48.90909090909091,81.0,53.68181818181818,19.545454545454547,6.954545454545454,12.727272727272727
2023-01-30,51.714285714285715,63.57142857142857,53.0,14.0,11.142857142857142,12.571428571428571
2023-01-31,55.6,92.6,54.5,16.3,14.5,19.9
2023-02-04,54.42857142857143,75.57142857142857,55.0,15.0,9.0,11.285714285714286
2023-02-05,47.34782608695652,71.8695652173913,54.43478260869565,15.304347826086957,8.347826086956522,9.608695652173912
