Tanggal,PM 10,PM 2.5,O2,CO,O3,NO2
2023-01-01,45.8235294117647,60.76470588235294,56.23529411764706,15.117647058823529,20.235294117647058,17.470588235294116
2023-01-02,35.78947368421053,45.1578947368421,58.31578947368421,15.052631578947368,22.31578947368421,19.263157894736842
2023-01-03,28.833333333333332,33.5,57.125,12.958333333333334,21.708333333333332,16.375
2023-01-04,29.94736842105263,42.421052631578945,59.1578947368421,16.894736842105264,19.94736842105263,25.0
2023-01-05,36.45454545454545,53.90909090909091,56.45454545454545,25.272727272727273,22.181818181818183,34.63636363636363
2023-01-06,30.545454545454547,45.54545454545455,55.63636363636363,14.818181818181818,18.90909090909091,20.545454545454547
2023-01-07,23.25,40.9,55.4,11.85,15.7,14.0
2023-01-08,26.291666666666668,55.5,56.0,10.125,17.583333333333332,11.5
2023-01-09,25.5,48.90909090909091,56.36363636363637,9.272727272727273,18.636363636363637,13.636363636363637
2023-01-10,34.31578947368421,51.8421052631579,56.421052631578945,10.421052631578947,20.157894736842106,21.31578947368421
2023-01-11,39.0,60.1578947368421,57.578947368421055,16.36842105263158,24.105263157894736,26.263157894736842
2023-01-12,66.2,87.1,59.65,18.55,38.35,33.45
2023-01-18,69.57142857142857,70.28571428571429,63.714285714285715,16.428571428571427,15.285714285714286,30.142857142857142
2023-01-19,63.59090909090909,67.27272727272727,59.72727272727273,19.136363636363637,15.136363636363637,31.318181818181817
2023-01-20,35.9375,56.75,58.8125,13.0625,15.5625,22.9375
2023-01-21,43.05,58.9,57.1,20.95,13.75,29.8
2023-01-22,39.916666666666664,55.625,58.416666666666664,12.5,15.583333333333334,19.625
2023-01-23,29.695652173913043,49.56521739130435,60.608695652173914,8.391304347826088,17.52173913043478,9.217391304347826
2023-01-24,32.375,48.25,60.6875,10.75,16.25,13.6875
2023-01-25,35.875,44.208333333333336,60.208333333333336,10.583333333333334,14.166666666666666,14.208333333333334
2023-01-26,37.875,46.9375,47.0625,16.375,13.4375,21.1875
2023-01-27,33.42857142857143,54.80952380952381,0.0,12.333333333333334,16.952380952380953,18.238095238095237
2023-01-28,31.571428571428573,50.142857142857146,0.0,10.619047619047619,28.523809523809526,27.285714285714285
2023-01-29,46.31818181818182,60.04545454545455,0.0,17.454545454545453,36.0,24.363636363636363
2023-01-30,37.714285714285715,54.57142857142857,0.0,9.857142857142858,28.285714285714285,19.857142857142858
2023-01-31,43.0,61.2,0.0,9.3,19.4,21.6
2023-02-04,54.714285714285715,66.85714285714286,23.857142857142858,10.142857142857142,28.428571428571427,25.0
2023-02-05,47.30434782608695,57.04347826086956,20.130434782608695,7.391304347826087,26.869565217391305,17.47826086956522
2023-02-06,37.473684210526315,52.10526315789474,28.05263157894737,6.052631578947368,22.105263157894736,14.368421052631579
2023-02-07,39.55555555555556,50.666666666666664,28.38888888888889,6.833333333333333,20.38888888888889,18.27777777777778
2023-02-08,32.125,44.5,20.25,8.5625,25.4375,23.25
2023-02-09,36.95454545454545,50.95454545454545,21.181818181818183,8.954545454545455,21.363636363636363,21.727272727272727
2023-02-10,24.75,32.25,17.5,6.75,17.5,14.5
2023-02-11,30.75,38.75,17.5,8.25,20.0,17.5
2023-02-12,21.0,20.4,17.8,6.6,18.8,16.0
2023-02-13,24.0,23.666666666666668,17.0,8.333333333333334,15.333333333333334,15.0
2023-02-14,22.8,26.0,16.3,7.3,16.0,13.1
2023-02-15,23.333333333333332,28.333333333333332,17.0,6.166666666666667,17.0,11.333333333333334
2023-02-16,30.857142857142858,34.142857142857146,19.0,7.285714285714286,17.0,14.571428571428571
2023-02-17,37.416666666666664,38.666666666666664,21.333333333333332,8.5,16.833333333333332,18.666666666666668
2023-02-18,49.666666666666664,59.111111111111114,20.555555555555557,14.666666666666666,19.0,25.11111111111111
2023-02-19,56.0,68.9090909090909,25.545454545454547,13.090909090909092,19.545454545454547,23.181818181818183
