Tanggal,PM 10,PM 2.5,O2,CO,O3,NO2
2023-09-01,80.875,103.1875,33.0625,8.5,51.5,26.8125
2023-09-02,76.21739130434783,94.0,29.391304347826086,7.173913043478261,45.95652173913044,23.47826086956522
2023-09-03,71.95,88.2,26.4,5.6,50.75,15.3
2023-09-04,66.57142857142857,83.92857142857143,28.785714285714285,6.0,45.142857142857146,16.357142857142858
2023-09-05,73.65217391304348,100.04347826086956,41.04347826086956,8.652173913043478,36.391304347826086,29.08695652173913
2023-09-06,69.0,89.0,21.526315789473685,8.210526315789474,36.78947368421053,25.789473684210527
2023-09-07,67.85714285714286,95.5,22.214285714285715,7.928571428571429,42.5,23.285714285714285
2023-09-08,73.66666666666667,95.42857142857143,24.142857142857142,7.333333333333333,38.04761904761905,21.142857142857142
2023-09-09,70.14285714285714,90.52380952380952,22.285714285714285,6.0,39.76190476190476,16.047619047619047
2023-09-10,68.55555555555556,89.61111111111111,21.38888888888889,6.611111111111111,40.44444444444444,17.0
2023-09-11,64.27777777777777,86.77777777777777,20.5,6.611111111111111,43.388888888888886,17.944444444444443
2023-09-12,64.52380952380952,89.80952380952381,21.0,7.9523809523809526,28.238095238095237,24.857142857142858
2023-09-13,61.68421052631579,83.36842105263158,20.0,6.157894736842105,33.68421052631579,17.157894736842106
2023-09-14,62.6,80.6,20.0,6.95,38.1,19.4
2023-09-15,63.1578947368421,84.47368421052632,19.526315789473685,7.0,38.526315789473685,17.31578947368421
2023-09-16,65.89473684210526,88.47368421052632,21.736842105263158,6.947368421052632,38.578947368421055,17.894736842105264
2023-09-17,65.5,80.5,20.25,5.625,38.25,14.1875
2023-09-18,58.05,72.6,19.15,4.95,42.65,13.8
2023-09-19,67.45,78.8,19.3,5.3,44.15,19.35
2023-09-20,67.61904761904762,85.0,20.80952380952381,8.333333333333334,28.333333333333332,25.428571428571427
2023-09-21,66.64285714285714,82.85714285714286,20.5,6.0,35.92857142857143,16.857142857142858
2023-09-22,68.0,88.55,21.0,7.1,38.6,24.0
2023-09-23,64.11111111111111,80.38888888888889,21.444444444444443,6.0,39.666666666666664,20.333333333333332
2023-09-24,58.05263157894737,75.84210526315789,20.210526315789473,6.105263157894737,38.73684210526316,17.05263157894737
2023-09-25,72.47368421052632,103.05263157894737,23.31578947368421,10.631578947368421,46.68421052631579,28.63157894736842
2023-09-26,65.21052631578948,84.73684210526316,20.263157894736842,6.7894736842105265,44.63157894736842,22.0
2023-09-27,61.473684210526315,81.6842105263158,20.0,7.0,36.63157894736842,22.210526315789473
2023-09-28,65.88235294117646,90.29411764705883,21.0,7.117647058823529,38.0,19.647058823529413
2023-09-29,67.77777777777777,94.88888888888889,22.88888888888889,6.888888888888889,37.666666666666664,19.055555555555557
2023-09-30,69.4,90.9,21.4,6.85,42.75,19.3
