Tanggal,PM 10,PM 2.5,O2,CO,O3,NO2
2023-02-04,54.714285714285715,66.85714285714286,23.857142857142858,10.142857142857142,28.428571428571427,25.0
2023-02-05,47.30434782608695,57.04347826086956,20.130434782608695,7.391304347826087,26.869565217391305,17.47826086956522
2023-02-06,37.473684210526315,52.10526315789474,28.05263157894737,6.052631578947368,22.105263157894736,14.368421052631579
2023-02-07,39.55555555555556,50.666666666666664,28.38888888888889,6.833333333333333,20.38888888888889,18.27777777777778
2023-02-08,32.125,44.5,20.25,8.5625,25.4375,23.25
2023-02-09,36.95454545454545,50.95454545454545,21.181818181818183,8.954545454545455,21.363636363636363,21.727272727272727
2023-02-10,24.75,32.25,17.5,6.75,17.5,14.5
2023-02-11,30.75,38.75,17.5,8.25,20.0,17.5
2023-02-12,21.0,20.4,17.8,6.6,18.8,16.0
2023-02-13,24.0,23.666666666666668,17.0,8.333333333333334,15.333333333333334,15.0
2023-02-14,22.8,26.0,16.3,7.3,16.0,13.1
2023-02-15,23.333333333333332,28.333333333333332,17.0,6.166666666666667,17.0,11.333333333333334
2023-02-16,30.857142857142858,34.142857142857146,19.0,7.285714285714286,17.0,14.571428571428571
2023-02-17,37.416666666666664,38.666666666666664,21.333333333333332,8.5,16.833333333333332,18.666666666666668
2023-02-18,49.666666666666664,59.111111111111114,20.555555555555557,14.666666666666666,19.0,25.11111111111111
2023-02-19,56.0,68.9090909090909,25.545454545454547,13.090909090909092,19.545454545454547,23.181818181818183
2023-02-20,44.63636363636363,52.45454545454545,27.363636363636363,9.181818181818182,17.272727272727273,14.818181818181818
2023-02-21,29.083333333333332,39.583333333333336,19.583333333333332,7.583333333333333,15.25,13.0
2023-02-22,25.545454545454547,36.90909090909091,20.454545454545453,8.090909090909092,22.90909090909091,17.181818181818183
2023-02-23,29.0,40.55555555555556,18.0,9.555555555555555,27.0,22.22222222222222
2023-02-24,22.5,33.42857142857143,16.071428571428573,9.071428571428571,31.428571428571427,24.357142857142858
2023-02-25,37.1,47.8,17.0,10.2,32.6,26.1
2023-02-26,30.866666666666667,42.93333333333333,17.0,7.533333333333333,35.733333333333334,17.533333333333335
2023-02-27,33.3,35.6,16.7,6.1,38.2,15.5
2023-02-28,35.285714285714285,47.42857142857143,21.0,8.571428571428571,25.714285714285715,20.714285714285715
