Tanggal,PM 10,PM 2.5,O2,CO,O3,NO2
2023-06-01,75.125,96.8125,53.25,10.625,37.9375,26.5
2023-06-02,73.0,95.0,53.333333333333336,8.4,36.93333333333333,19.133333333333333
2023-06-03,72.66666666666667,91.0,54.0,7.0,34.0,17.0
2023-06-09,69.0,83.0,54.0,9.0,21.0,20.0
2023-06-12,65.0,92.5,51.0,9.0,35.0,19.0
2023-06-13,65.8,84.8,55.0,7.0,31.0,18.2
2023-06-14,65.33333333333333,84.52380952380952,51.904761904761905,7.142857142857143,35.523809523809526,17.047619047619047
2023-06-15,46.6875,93.625,55.4375,10.8125,28.3125,28.1875
2023-06-16,0.0,85.6,52.45,8.7,28.55,23.15
2023-06-17,58.04545454545455,72.72727272727273,52.31818181818182,12.863636363636363,18.863636363636363,30.318181818181817
2023-06-18,69.57142857142857,88.21428571428571,58.5,14.071428571428571,24.928571428571427,32.357142857142854
2023-06-19,63.473684210526315,70.42105263157895,53.78947368421053,9.052631578947368,26.68421052631579,20.842105263157894
2023-06-20,60.0,73.52380952380952,52.714285714285715,15.428571428571429,22.285714285714285,27.952380952380953
2023-06-21,65.21428571428571,85.64285714285714,53.785714285714285,7.214285714285714,33.214285714285715,21.5
2023-06-22,71.94117647058823,85.70588235294117,52.76470588235294,9.058823529411764,35.11764705882353,23.41176470588235
2023-06-23,67.04761904761905,87.76190476190476,53.333333333333336,8.142857142857142,29.571428571428573,19.714285714285715
2023-06-24,61.92857142857143,75.35714285714286,52.285714285714285,6.571428571428571,32.285714285714285,17.285714285714285
2023-06-26,60.07142857142857,74.5,51.07142857142857,9.785714285714286,32.642857142857146,24.571428571428573
2023-06-27,70.38095238095238,90.0952380952381,53.714285714285715,9.761904761904763,36.904761904761905,28.38095238095238
2023-06-28,60.61904761904762,69.57142857142857,54.0,8.428571428571429,27.61904761904762,24.38095238095238
2023-06-29,43.375,56.9375,51.0,5.375,32.5625,14.125
2023-06-30,44.529411764705884,59.705882352941174,51.411764705882355,6.352941176470588,32.88235294117647,14.705882352941176
