Tanggal,PM 10,PM 2.5,O2,CO,O3,NO2
2023-07-01,60.19047619047619,77.76190476190476,51.57142857142857,11.142857142857142,33.0,26.047619047619047
2023-07-02,64.65,78.25,50.7,12.65,36.6,29.85
2023-07-03,60.4,75.65,50.85,8.05,34.35,19.85
2023-07-04,59.55,75.1,50.35,9.0,34.0,22.8
2023-07-05,76.73684210526316,101.3157894736842,54.578947368421055,11.421052631578947,36.8421052631579,26.105263157894736
2023-07-06,75.57142857142857,92.14285714285714,52.04761904761905,13.095238095238095,30.38095238095238,36.19047619047619
2023-07-07,68.38888888888889,82.05555555555556,56.5,12.11111111111111,20.555555555555557,38.27777777777778
2023-07-08,61.857142857142854,72.23809523809524,53.42857142857143,14.333333333333334,22.285714285714285,32.38095238095238
2023-07-09,59.3,70.25,52.95,12.0,24.1,23.5
2023-07-10,55.4,68.05,51.95,6.75,25.9,16.35
2023-07-11,66.2,80.3,57.3,8.75,23.5,21.4
2023-07-12,68.65,86.55,53.2,8.7,37.3,22.15
2023-07-13,75.72222222222223,92.22222222222223,54.666666666666664,10.0,43.333333333333336,27.944444444444443
2023-07-14,71.57142857142857,86.47619047619048,51.61904761904762,9.095238095238095,47.42857142857143,23.285714285714285
2023-07-15,66.10526315789474,78.15789473684211,51.94736842105263,9.736842105263158,39.10526315789474,25.63157894736842
2023-07-16,61.3,74.55,52.35,7.9,34.55,19.3
2023-07-17,59.78947368421053,71.36842105263158,52.1578947368421,7.7368421052631575,30.63157894736842,19.473684210526315
2023-07-18,71.80952380952381,90.85714285714286,54.76190476190476,8.142857142857142,28.285714285714285,21.238095238095237
2023-07-19,71.55,87.15,55.45,8.8,25.7,25.2
2023-07-20,44.5,53.4,37.5,6.1,24.45,16.8
2023-07-21,66.95,79.35,54.0,10.25,38.3,31.3
2023-07-22,75.23809523809524,92.57142857142857,54.523809523809526,10.0,41.0,28.095238095238095
2023-07-23,66.5,78.4,54.25,6.65,33.3,17.7
2023-07-24,65.26315789473684,77.63157894736842,54.78947368421053,6.421052631578948,37.05263157894737,17.157894736842106
2023-07-25,74.2,91.53333333333333,55.6,11.2,30.933333333333334,36.53333333333333
2023-07-26,75.86363636363636,90.31818181818181,56.13636363636363,8.681818181818182,40.59090909090909,26.0
2023-07-27,81.9,103.5,55.3,12.05,31.85,30.85
2023-07-28,81.4,100.25,56.5,11.2,30.0,28.25
2023-07-29,79.61904761904762,97.14285714285714,56.57142857142857,8.238095238095237,31.095238095238095,26.095238095238095
2023-07-30,77.77777777777777,92.44444444444444,56.166666666666664,7.5,35.44444444444444,18.77777777777778
2023-07-31,72.35,84.05,54.85,7.8,33.15,16.2
