Tanggal,PM 10,PM 2.5,O2,CO,O3,NO2
2023-03-01,35.083333333333336,41.833333333333336,21.166666666666668,10.083333333333334,19.916666666666668,23.083333333333332
2023-03-02,29.22222222222222,38.111111111111114,19.11111111111111,12.444444444444445,16.0,24.22222222222222
2023-03-03,32.77777777777778,40.333333333333336,19.77777777777778,10.11111111111111,18.77777777777778,22.22222222222222
2023-03-04,31.5,41.0,19.1,10.9,18.7,19.4
2023-03-05,34.083333333333336,46.25,19.166666666666668,9.75,19.5,18.75
2023-03-06,37.63636363636363,47.45454545454545,19.09090909090909,8.636363636363637,20.818181818181817,18.0
2023-03-07,35.09090909090909,50.72727272727273,21.727272727272727,7.818181818181818,15.727272727272727,16.818181818181817
2023-03-08,33.666666666666664,43.44444444444444,19.333333333333332,7.0,20.333333333333332,20.444444444444443
2023-03-09,48.125,57.625,19.75,11.375,17.75,29.125
2023-03-10,38.55555555555556,51.666666666666664,17.666666666666668,11.666666666666666,22.0,25.77777777777778
2023-03-11,49.0,64.125,20.375,15.75,28.0,34.625
2023-03-12,68.0909090909091,92.63636363636364,26.272727272727273,15.818181818181818,26.181818181818183,34.72727272727273
2023-03-13,60.5,77.7,33.6,9.5,26.2,25.5
2023-03-14,48.5,60.0,20.75,7.75,30.166666666666668,21.166666666666668
2023-03-15,35.5,48.6,23.0,8.8,22.5,24.2
2023-03-16,57.8,78.5,22.9,19.9,19.8,35.4
2023-03-17,56.666666666666664,64.11111111111111,22.88888888888889,10.11111111111111,24.22222222222222,20.11111111111111
2023-03-18,56.875,68.5,28.5,10.625,24.25,26.75
2023-03-19,59.77777777777778,69.22222222222223,29.77777777777778,11.666666666666666,28.555555555555557,25.0
