Tanggal,PM 10,PM 2.5,O2,CO,O3,NO2
2023-04-10,25.0,34.2,21.0,6.0,24.2,12.4
2023-04-11,23.866666666666667,31.866666666666667,21.066666666666666,6.0,20.0,12.4
2023-04-12,26.1,35.2,20.2,6.0,15.6,12.1
2023-04-13,27.166666666666668,36.0,19.0,6.083333333333333,19.083333333333332,12.833333333333334
2023-04-14,39.4,54.2,23.3,8.9,24.6,21.1
2023-04-15,60.5,75.33333333333333,30.333333333333332,13.25,32.25,30.0
2023-04-16,53.666666666666664,64.16666666666667,26.583333333333332,9.833333333333334,29.666666666666668,24.0
2023-04-17,45.5,56.75,26.166666666666668,7.5,27.916666666666668,20.666666666666668
2023-04-18,55.77777777777778,69.22222222222223,33.666666666666664,6.777777777777778,37.55555555555556,18.0
2023-04-19,54.09090909090909,72.0909090909091,28.636363636363637,9.909090909090908,42.63636363636363,21.636363636363637
2023-04-20,51.416666666666664,68.58333333333333,25.333333333333332,12.25,44.416666666666664,23.666666666666668
2023-04-21,54.30769230769231,73.23076923076923,23.0,8.692307692307692,51.15384615384615,15.692307692307692
